zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
501,US,NY,New York,Suffolk,40.8154,-73.0451,KISP,40.79520035,-73.10019684,5.152667991961539
544,US,NY,New York,Suffolk,40.8154,-73.0451,KISP,40.79520035,-73.10019684,5.152667991961539
6390,US,NY,New York,Suffolk,41.2639,-72.0178,K0B8,41.25130081179999,-72.0316009521,1.8148226488404444
10001,US,NY,New York,New York,40.7484,-73.9967,KLGA,40.77719879,-73.87259674,10.931669897164486
10002,US,NY,New York,New York,40.7152,-73.9877,KLGA,40.77719879,-73.87259674,11.897463087894241
10003,US,NY,New York,New York,40.7313,-73.9892,KLGA,40.77719879,-73.87259674,11.068610915311075
10004,US,NY,New York,New York,40.6964,-74.0253,KLGA,40.77719879,-73.87259674,15.6923664319233
10005,US,NY,New York,New York,40.7056,-74.0083,KLGA,40.77719879,-73.87259674,13.931701202663385
10006,US,NY,New York,New York,40.7085,-74.0135,KLGA,40.77719879,-73.87259674,14.116114138578583
10007,US,NY,New York,New York,40.7139,-74.007,KLGA,40.77719879,-73.87259674,13.331928266974234
10008,US,NY,New York,New York,40.7143,-74.006,KLGA,40.77719879,-73.87259674,13.23687359575845
10009,US,NY,New York,New York,40.7262,-73.9796,KLGA,40.77719879,-73.87259674,10.648952908604983
10010,US,NY,New York,New York,40.7375,-73.9813,KLGA,40.77719879,-73.87259674,10.164444923929409
10011,US,NY,New York,New York,40.7402,-73.9996,KLGA,40.77719879,-73.87259674,11.460885325326597
10012,US,NY,New York,New York,40.7255,-73.9983,KLGA,40.77719879,-73.87259674,12.048543306167497
10013,US,NY,New York,New York,40.7185,-74.0025,KLGA,40.77719879,-73.87259674,12.741759493957328
10014,US,NY,New York,New York,40.7339,-74.0054,KLGA,40.77719879,-73.87259674,12.17819545423569
10016,US,NY,New York,New York,40.7443,-73.9781,KLGA,40.77719879,-73.87259674,9.609430079206705
10017,US,NY,New York,New York,40.7517,-73.9707,KLGA,40.77719879,-73.87259674,8.735130477376524
10018,US,NY,New York,New York,40.7547,-73.9925,KLGA,40.77719879,-73.87259674,10.40320153304775
10019,US,NY,New York,New York,40.7651,-73.9858,KLGA,40.77719879,-73.87259674,9.627372837927181
10020,US,NY,New York,New York,40.7354,-73.9968,KLGA,40.77719879,-73.87259674,11.447554565062944
